Year,Deep Learning,Reinforcement Learning,Transfer Learning,Causality
1990,33800,19100,38800,12000
1991,36200,19700,38100,12700
1992,41900,20400,43300,13400
1993,46200,20800,47900,14500
1994,52300,22100,53500,15700
1995,59200,22600,60300,17000
1996,71600,25200,75300,19200
1997,85000,26600,86300,21500
1998,102000,28400,103000,24900
1999,119000,30300,118000,26200
2000,150000,35100,152000,31400
2001,154000,36900,152000,35400
2002,188000,43500,194000,40600
2003,203000,47300,225000,45800
2004,225000,52200,230000,50700
2005,235000,57800,257000,58600
2006,243000,61700,281000,65900
2007,264000,66900,294000,75200
2008,269000,73400,310000,82600
2009,298000,79300,342000,91000
2010,328000,83700,360000,103000
2011,338000,89100,391000,110000
2012,364000,101000,416000,124000
2013,414000,117000,458000,139000
2014,398000,112000,433000,124000
2015,423000,105000,416000,130000
2016,511000,112000,406000,134000
2017,734000,121000,434000,119000
2018,849000,136000,420000,117000
2019,881000,145000,413000,109000
2020,742000,158000,399000,95100
2021,453000,126000,289000,82700
2022,247000,109000,181000,48800
2023,118000,42800,139000,27000
